scenario,width,offered_concurrency,repetitions,workers,speculative_workers,visit_capacity,max_speculative_pending,synthetic_service_ms,synthetic_prediction_lead_ms,requested_predictions,admitted_predictions,rejected_predictions,admission_ratio,authoritative_targets,exact_hits,completed_reuse_hits,inflight_promotion_hits,queued_promotion_hits,overlap_producing_hits,overlap_producing_target_coverage,realized_exact_target_coverage,admitted_candidate_precision,logical_waste_admitted,wrong_speculations_started,wrong_speculations_never_started,wasted_speculative_service_ms,saved_speculative_service_ms,wasted_service_ms_per_authoritative_target,observed_wrong_service_ms_per_started_call,baseline_observed_service_ms_per_started_call,pattern_observed_service_ms_per_started_call,baseline_observed_service_p95_ms_mean_across_repeats,pattern_observed_service_p95_ms_mean_across_repeats,physical_calls_started,physical_call_amplification_vs_demand_only,baseline_mean_exposed_wait_ms,pattern_mean_exposed_wait_ms,baseline_p95_exposed_wait_ms_mean_across_repeats,pattern_p95_exposed_wait_ms_mean_across_repeats,net_latency_benefit_ms_total,net_latency_benefit_ms_per_target,net_latency_benefit_fraction,baseline_drained_workload_wall_s,pattern_drained_workload_wall_s,drained_workload_wall_benefit_s,drained_workload_wall_benefit_fraction,baseline_authoritative_throughput_per_s,pattern_authoritative_throughput_per_s,admission_deadline_overrun_batches,admission_batches,admission_submission_mean_ms_across_repeats,admission_submission_max_ms,confirmation_offset_mean_ms_across_repeats,confirmation_offset_p95_ms_mean_across_repeats,confirmation_offset_max_ms,all_safety_invariants_passed,serialized_predictor_compute_ms,conservative_net_including_predictor_ms_total,conservative_net_including_predictor_ms_per_target,conservative_net_including_predictor_fraction,conservative_pattern_wall_including_predictor_s,conservative_drained_wall_benefit_including_predictor_s,conservative_drained_wall_benefit_including_predictor_fraction
observed_pattern_v2_oof,5,1,3,4,2,2,128,5.0,2.5,4710,4710,0,1.0,705,402,0,252,150,252,0.3574468085106383,0.5702127659574469,0.08535031847133757,4308,4308,0,23505.35980722634,850.9331740788184,33.34093589677495,5.456211654416514,5.259571774162564,5.45899610185558,5.426645996825148,5.785266655342032,5013,7.110638297872341,7.930406986930612,7.27232770485711,15.90229431167245,13.908596340722093,463.94589386181906,0.6580792820735022,0.0829817792653042,5.886001072009094,16.321430070034694,-10.4354289980256,-1.7729233940597346,119.77571722720725,43.19474439279336,0,1020,0.3053683410946499,0.896550016477704,3.361260063327648,3.5467233198384442,3.598848998080939,True,342.73454100000015,121.21135286181891,0.17193099696711903,0.021679971437842088,16.664164611034693,-10.778163539025599,-1.8311521535871282
observed_pattern_v2_oof,5,8,3,4,2,2,128,5.0,2.5,4710,4710,0,1.0,705,402,0,50,352,50,0.07092198581560284,0.5702127659574469,0.08535031847133757,4308,550,3758,3804.2104541673325,167.94129012851045,5.396043197400472,6.916746280304241,5.343214805644164,6.247006101901105,5.715226987376809,9.933994675520808,1255,1.7801418439716312,13.620283563063209,18.550254255103884,28.583958686795086,33.7744383335424,-3475.6293378886767,-4.929970692040676,-0.36195800691038793,2.497867332014721,4.140084390994161,-1.6422170589794405,-0.6574476706314369,282.2407703420196,170.28638390405078,104,129,2.750000091587273,3.4731460036709905,2.97628572867649,3.4677256480790675,3.586597042158246,True,342.73454100000015,-3818.363878888677,-5.416118977147059,-0.3976509704860338,4.482818931994162,-1.984951599979441,-0.7946585371203144
observed_pattern_v2_oof,5,32,3,4,2,2,128,5.0,2.5,4710,4115,595,0.8736730360934183,705,383,0,11,372,11,0.015602836879432624,0.5432624113475177,0.09307411907654921,3732,193,3539,2687.1301032369956,216.8828080757521,3.8115320613290717,13.92295390278236,5.4425842555550235,7.640857520572352,6.7553533396373195,34.19088601367548,898,1.273758865248227,36.29208770770487,49.49411586453768,76.13204400210331,88.67171232122928,-9307.429850567132,-13.202028156832812,-0.363771526817676,2.097511345986277,3.4888939160155132,-1.3913825700292364,-0.6633492460919158,336.11260380024305,202.06977253270696,33,33,18.454927845265377,20.74809599434957,18.455991727850314,20.544624673978735,20.749118004459888,True,342.73454100000015,-9650.164391567132,-13.688176441939195,-0.3771669613548623,3.8316284570155132,-1.7341171110292364,-0.8267498120320451
observed_pattern_v2_oof,5,64,3,4,2,2,128,5.0,2.5,4710,2195,2515,0.46602972399150744,705,267,0,6,261,6,0.00851063829787234,0.37872340425531914,0.12164009111617312,1928,93,1835,2068.284222856164,204.19555401895195,2.9337364863207998,22.239615299528644,5.548670258065884,7.759409142383269,6.022926342363159,6.157697003800422,798,1.1319148936170214,67.17052972934981,86.02492870789365,136.79585964806998,155.88625200325623,-13292.351279873401,-18.85439897854383,-0.2806945107402584,2.0763287189765833,3.1507731200545095,-1.0744444010779262,-0.5174731685103873,339.54161186360346,223.75460661153642,18,18,31.842621774153994,38.05279097286984,31.843832393254463,37.54409132913376,38.05390401976183,True,342.73454100000015,-13635.0858208734,-19.340547263650215,-0.2879320342057607,3.4935076610545095,-1.4171789420779262,-0.6825407408401353
observed_pattern_v2_oof,5,128,3,4,2,2,128,5.0,2.5,4710,1152,3558,0.2445859872611465,705,170,0,4,166,4,0.005673758865248227,0.24113475177304963,0.14756944444444445,982,37,945,1654.6964347362518,293.73167402809486,2.347087141469861,44.72152526314194,5.721670294887261,8.091629668725076,5.6313459839050966,5.9042276892190175,742,1.052482269503546,125.17772483365306,157.08979441865236,238.9065879979171,273.38883666864905,-22498.009057424497,-31.912069584999287,-0.254934091727636,2.09236429608427,3.0285547359962948,-0.9361904399120249,-0.4474318557547781,336.9394140969447,232.7843019050069,9,9,62.86172167165205,72.68349302466959,62.862877223071536,71.91639199542503,72.68457498867065,True,342.73454100000015,-22840.7435984245,-32.39821787010567,-0.25881775621948083,3.3712892769962948,-1.278924980912025,-0.6112343741027573
all_wrong_counterfactual,5,1,3,4,2,2,128,5.0,2.5,4710,4710,0,1.0,705,0,0,0,0,0,0.0,0.0,0.0,4710,4710,0,25819.43880027393,0.0,36.62331744719706,5.481834140185548,5.330562943110493,5.460295320870329,5.45141634453709,5.794056341983378,5415,7.680851063829787,8.146946280550686,10.455239438022494,15.950533018137017,18.324645003303885,-1627.3466760176234,-2.308293157471806,-0.28333231593565616,5.919852648978122,16.981296074925922,-11.0614434259478,-1.8685335736958275,119.09080205259777,41.51626571313258,0,1020,0.3082527537652127,0.6013989914208651,3.3745978164541373,3.5341919865459204,3.614095039665699,True,342.73454100000015,-1970.0812170176237,-2.7944414425781896,-0.343004770910224,17.32403061592592,-11.404177966947799,-1.9264293628856413
all_wrong_counterfactual,5,8,3,4,2,2,128,5.0,2.5,4710,4710,0,1.0,705,0,0,0,0,0,0.0,0.0,0.0,4710,822,3888,5506.968003464863,0.0,7.811302132574274,6.699474456769906,5.3378889182787255,6.13051992998115,5.7053979835473,9.904685663059354,1527,2.1659574468085108,13.603817457201105,20.2968952540764,28.528800990898162,36.012722994200885,-4718.619846797083,-6.693077796875294,-0.49199997117958616,2.4940268250065856,4.892026801011525,-2.3979999760049395,-0.9614972669745072,282.67538782311954,144.11204776192702,110,129,2.7802491234795936,3.447688010055572,2.9877945207701924,3.450947677871833,3.551903006155044,True,342.73454100000015,-5061.354387797082,-7.179226081981677,-0.5277361376369685,5.2347613420115255,-2.74073451700494,-1.0989194220064986
all_wrong_counterfactual,5,32,3,4,2,2,128,5.0,2.5,4710,4115,595,0.8736730360934183,705,0,0,0,0,0,0.0,0.0,0.0,4115,336,3779,3871.9712730380706,0.0,5.492157834096554,11.52372402689902,5.442511947439152,7.433190269934284,6.6747230011969805,33.58738597792884,1041,1.476595744680851,36.29407040537038,51.4704960336453,76.29742434558769,92.02674234984443,-10699.380067933816,-15.176425628274917,-0.4181516555946639,2.097564868046902,3.940814548113849,-1.843249680066947,-0.8787569376975908,336.1040274556296,178.89702532118056,33,33,18.505875123523627,20.963188027963042,18.506956852930177,20.583631684227537,20.964220049791038,True,342.73454100000015,-11042.114608933816,-15.6625739133813,-0.4315463583567561,4.2835490891138495,-2.1859842210669473,-1.042153334262494
all_wrong_counterfactual,5,64,3,4,2,2,128,5.0,2.5,4710,2195,2515,0.46602972399150744,705,0,0,0,0,0,0.0,0.0,0.0,2195,133,2062,2677.066560718231,0.0,3.797257532933661,20.128320005400234,5.54891722524499,7.7776449309052955,6.00740168010816,6.2250800159138935,838,1.1886524822695035,67.1323618674915,88.3199441332555,136.4253633461582,158.2091623179925,-14937.24549736362,-21.187582265764,-0.3156090695510592,2.075076173990965,3.302235451003071,-1.227159277012106,-0.5913803514267757,339.74656392689593,213.49174232438594,18,18,32.04390811151825,37.77107497444376,32.04502449888322,37.1710496644179,37.77213697321713,True,342.73454100000015,-15279.98003836362,-21.67373055087038,-0.32285070788438586,3.644969992003071,-1.569893818012106,-0.7565475608506224
all_wrong_counterfactual,5,128,3,4,2,2,128,5.0,2.5,4710,1152,3558,0.2445859872611465,705,0,0,0,0,0,0.0,0.0,0.0,1152,50,1102,2297.6033321465366,0.0,3.2590118186475694,45.95206664293073,5.726920271619282,8.158148118967055,5.6334716694739955,5.956504358133922,755,1.070921985815603,125.32932566039608,159.8762361397174,239.48480297500888,273.0187263029317,-24355.571887921542,-34.54691047932133,-0.2756490573717187,2.0938627950381488,3.1031692569958977,-1.009306461957749,-0.48203084956164,336.6982792142096,227.18709216734547,9,9,65.08152522534753,93.21108204312623,65.08269189443025,78.56120033344875,93.21238502161577,True,342.73454100000015,-24698.306428921544,-35.03305876442772,-0.2795280241063176,3.4459037979958977,-1.352041002957749,-0.6457161405998981
